gene,logFC,PValue,t_stat,contrast,oud_mean,ctrl_mean,n_oud,n_ctrl,FDR,significant_nominal,significant_strict,significant,direction
PADI6,0.8010299533069488,0.005607638672357345,13.297728607244956,OUD_vs_Control_Caudate,26.60165500640869,15.267735004425049,2,2,0.7121861926826842,True,False,True,Up
AL357500.1,1.2625466147203008,0.00024374247502949035,64.04054044461469,OUD_vs_Control_Caudate,70.35856628417969,29.32598304748535,2,2,0.7121861926826842,True,True,True,Up
AC099565.1,0.5035553893256468,0.007910790539270341,11.176385921601582,OUD_vs_Control_Caudate,56.445940017700195,39.81506538391113,2,2,0.7121861926826842,True,False,True,Up
AL390839.1,1.7733599588117586,0.00565791055065972,13.238017621166666,OUD_vs_Control_Caudate,14.24995756149292,4.168492555618286,2,2,0.7121861926826842,True,False,True,Up
AL357673.2,-1.4255881227076226,0.00238189464557787,-20.453225820336808,OUD_vs_Control_Caudate,1.4146898239850998,3.8001961708068848,2,2,0.7121861926826842,True,False,True,Down
ACTA1,1.6439293540409774,0.007255838454251405,11.675695611267377,OUD_vs_Control_Caudate,16.447532176971436,5.262943387031555,2,2,0.7121861926826842,True,False,True,Up
OR2T1,2.6619484683669308,0.0009124683123851163,33.08215072452362,OUD_vs_Control_Caudate,7.657886266708374,1.2099922150373459,2,2,0.7121861926826842,True,True,True,Up
AC010729.2,0.540618235505361,0.0018255736635064068,23.372494035033252,OUD_vs_Control_Caudate,48.06604194641113,33.04426193237305,2,2,0.7121861926826842,True,False,True,Up
LINC00570,1.0523107312093982,0.0003663045654664364,52.23474701754453,OUD_vs_Control_Caudate,22.3252592086792,10.765133380889893,2,2,0.7121861926826842,True,True,True,Up
LINC01127,1.2807286362640655,0.008812674254235014,10.5818309599009,OUD_vs_Control_Caudate,3.938722610473633,1.6211293190717697,2,2,0.7121861926826842,True,False,True,Up
AC073257.2,-1.552515085959046,0.002759370698198762,-18.99742513535604,OUD_vs_Control_Caudate,1.4381357431411743,4.218455672264099,2,2,0.7121861926826842,True,False,True,Down
AC079163.2,0.6043769395981476,0.006443332755264426,12.397612763529592,OUD_vs_Control_Caudate,26.59048843383789,17.490036964416504,2,2,0.7121861926826842,True,False,True,Up
AC012513.1,1.1080114843792352,0.00985399768173632,9.999206538346504,OUD_vs_Control_Caudate,2.4863603115081787,1.1535047106444836,2,2,0.7121861926826842,True,False,True,Up
AC097369.2,1.457174595032272,0.006627798579831448,12.222165234569795,OUD_vs_Control_Caudate,66.90160751342773,24.365946769714355,2,2,0.7121861926826842,True,False,True,Up
AC096861.2,1.7646667154093598,0.005539002308430676,13.380557410104032,OUD_vs_Control_Caudate,14.812825679779053,4.359335541725159,2,2,0.7121861926826842,True,False,True,Up
AC079921.2,0.9686236882938639,0.006836233100426112,12.032501974858604,OUD_vs_Control_Caudate,114.12433624267578,58.3167724609375,2,2,0.7121861926826842,True,False,True,Up
AC108515.1,1.8157396241843047,0.005931537914026145,12.926400441199586,OUD_vs_Control_Caudate,5.740814447402954,1.6307275891304016,2,2,0.7121861926826842,True,False,True,Up
AC002460.1,1.99175632006603,0.008146633139993602,11.011454989546996,OUD_vs_Control_Caudate,4.916386723518372,1.2361399456858635,2,2,0.7121861926826842,True,False,True,Up
AC008780.2,1.3415837816334013,0.007787418564069929,11.265620809932669,OUD_vs_Control_Caudate,3.916874647140503,1.5455487668514252,2,2,0.7121861926826842,True,False,True,Up
FAM153A,1.5190461382350247,0.0076834038294348195,11.342511975687438,OUD_vs_Control_Caudate,356.99729919433594,124.56225967407227,2,2,0.7121861926826842,True,False,True,Up
HIST1H2BB,-1.3077969641598037,0.0021366784223532144,-21.598997210991126,OUD_vs_Control_Caudate,2.438214063644409,6.036121129989624,2,2,0.7121861926826842,True,False,True,Down
HIST1H2AH,2.295542757792602,0.006536843870271213,12.307748140361046,OUD_vs_Control_Caudate,37.294565200805664,7.596583604812622,2,2,0.7121861926826842,True,False,True,Up
AC004949.1,0.7104642496073975,0.0032287444263537518,17.556159205007535,OUD_vs_Control_Caudate,392.4403076171875,239.82947540283203,2,2,0.7121861926826842,True,False,True,Up
AC002383.1,1.9497225854057352,0.007709387734154271,11.323158640763008,OUD_vs_Control_Caudate,107.6260757446289,27.860732078552246,2,2,0.7121861926826842,True,False,True,Up
AC006148.2,2.2514179993833228,0.005681424429300616,13.21036040862309,OUD_vs_Control_Caudate,101.15584564208984,21.244505882263184,2,2,0.7121861926826842,True,False,True,Up
TRBVB,0.9269470511741237,0.004783799288663133,14.406251050051022,OUD_vs_Control_Caudate,2.7676225304603577,1.4556869566440582,2,2,0.7121861926826842,True,False,True,Up
AC011899.1,0.9880727202392835,0.00863407749036071,10.692160703053974,OUD_vs_Control_Caudate,2.172412395477295,1.0952234789729118,2,2,0.7121861926826842,True,False,True,Up
AC004908.1,2.35170277653113,0.007607558084120441,11.39956724026326,OUD_vs_Control_Caudate,9.676242351531982,1.8957176804542542,2,2,0.7121861926826842,True,False,True,Up
FAM86B2,0.9911463584449812,0.006682426551256408,12.171602815122315,OUD_vs_Control_Caudate,36.50263214111328,18.363666534423828,2,2,0.7121861926826842,True,False,True,Up
AC090796.1,1.5714226655339036,0.0068997895006216,11.976380447056275,OUD_vs_Control_Caudate,63.71811866760254,21.439644813537598,2,2,0.7121861926826842,True,False,True,Up
AP001330.1,1.0834553908877398,0.0069954235647802536,11.893374440801274,OUD_vs_Control_Caudate,19.739757537841797,9.315136909484863,2,2,0.7121861926826842,True,False,True,Up
DCSTAMP,1.4216411470187535,0.0025085725294770977,19.92821392876851,OUD_vs_Control_Caudate,5.328453063964844,1.989044576883316,2,2,0.7121861926826842,True,False,True,Up
AL596451.1,2.7054150477573105,0.002549607868560046,19.766583289867985,OUD_vs_Control_Caudate,17.75716495513916,2.72246652841568,2,2,0.7121861926826842,True,False,True,Up
TBC1D2,0.6946168779518518,0.0047828051554397386,14.407758985497518,OUD_vs_Control_Caudate,8377.67724609375,5176.34375,2,2,0.7121861926826842,True,False,True,Up
BAAT,1.2294341319519697,0.005482347169369091,13.450092931448776,OUD_vs_Control_Caudate,133.69102478027344,57.01717567443848,2,2,0.7121861926826842,True,False,True,Up
AL391839.2,1.4674882691507605,0.0008905321706343935,33.487673583692306,OUD_vs_Control_Caudate,3.5527398586273193,1.2847109362483025,2,2,0.7121861926826842,True,True,True,Up
RPEL1,1.0833003751836359,0.00333384071722593,17.275855326184473,OUD_vs_Control_Caudate,4.163543701171875,1.9649758636951447,2,2,0.7121861926826842,True,False,True,Up
AC068205.2,0.9553163399007327,0.005675292171261269,13.217556696125435,OUD_vs_Control_Caudate,10.304413318634033,5.314279556274414,2,2,0.7121861926826842,True,False,True,Up
OOSP3,1.2259471688662025,0.003327799077534828,17.291609083284786,OUD_vs_Control_Caudate,103.28186798095703,44.154727935791016,2,2,0.7121861926826842,True,False,True,Up
LINC02701,1.035555596304558,0.008388504842479874,10.849555819685659,OUD_vs_Control_Caudate,6.6805455684661865,3.258957028388977,2,2,0.7121861926826842,True,False,True,Up
MIR4300HG,-0.9302216762442393,0.009327598875496022,-10.28158886919626,OUD_vs_Control_Caudate,5488.539794921875,10458.7900390625,2,2,0.7121861926826842,True,False,True,Down
ANGPTL5,1.0430993718121107,0.0065916167296551625,12.25599865526116,OUD_vs_Control_Caudate,73.64685440063477,35.73962593078613,2,2,0.7121861926826842,True,False,True,Up
NANOGNB,1.2602848228862955,0.009387119377058118,10.24847847054193,OUD_vs_Control_Caudate,54.08251953125,22.57737159729004,2,2,0.7121861926826842,True,False,True,Up
CLEC4D,1.7669373161860447,0.0011799638153992325,29.08580255549997,OUD_vs_Control_Caudate,8.574153423309326,2.5193593502044678,2,2,0.7121861926826842,True,False,True,Up
C12orf54,0.6269674834138704,0.008851220262243139,10.558456094593701,OUD_vs_Control_Caudate,76.75567245483398,49.70206832885742,2,2,0.7121861926826842,True,False,True,Up
AC068993.2,1.7086923076925378,0.006669822440994306,12.183213931803275,OUD_vs_Control_Caudate,8.260862588882446,2.5273056030273438,2,2,0.7121861926826842,True,False,True,Up
AC126178.1,0.8168551369048657,0.0059108172748685755,12.949240297180683,OUD_vs_Control_Caudate,77.00998306274414,43.71687698364258,2,2,0.7121861926826842,True,False,True,Up
LINC00387,1.0726094214182316,0.004931765126760117,14.186909256685045,OUD_vs_Control_Caudate,7.578951358795166,3.603474974632263,2,2,0.7121861926826842,True,False,True,Up
LINC00423,1.5779034802848981,0.0018624389657845178,23.139377972519824,OUD_vs_Control_Caudate,5.006588101387024,1.6770483553409576,2,2,0.7121861926826842,True,False,True,Up
FREM2-AS1,1.2122271202944692,0.005372016376162833,13.58864190003459,OUD_vs_Control_Caudate,27.144262313842773,11.715513229370117,2,2,0.7121861926826842,True,False,True,Up
AL158196.1,1.1444016768684728,0.00928208326222822,10.307122138823521,OUD_vs_Control_Caudate,31.66701602935791,14.325438022613525,2,2,0.7121861926826842,True,False,True,Up
AL161804.1,0.989087668611523,0.0003540557258963835,53.13110419113587,OUD_vs_Control_Caudate,552.8714294433594,278.53456115722656,2,2,0.7121861926826842,True,False,True,Up
AC004816.2,1.9858914083959112,0.009019839060978802,10.457962914548771,OUD_vs_Control_Caudate,8.946861028671265,2.258696138858795,2,2,0.7121861926826842,True,False,True,Up
LINC02299,1.2096490203709036,0.004447976378697212,14.943977123956088,OUD_vs_Control_Caudate,37.95870399475098,16.412348747253418,2,2,0.7121861926826842,True,False,True,Up
EXOC3L4,1.1450133895852306,0.007869388673733846,11.206098744937687,OUD_vs_Control_Caudate,4.793959975242615,2.1677591502666473,2,2,0.7121861926826842,True,False,True,Up
AC114546.1,1.4358953676134665,0.003852775687775284,16.064062310668998,OUD_vs_Control_Caudate,161.76785278320312,59.79221534729004,2,2,0.7121861926826842,True,False,True,Up
AC023906.2,1.2600728722446657,0.002730834525927656,19.09683510021192,OUD_vs_Control_Caudate,8.153597831726074,3.404313564300537,2,2,0.7121861926826842,True,False,True,Up
AC009097.2,1.3741357662798892,0.0027728732439618025,18.950922036482968,OUD_vs_Control_Caudate,35.36341667175293,13.64263105392456,2,2,0.7121861926826842,True,False,True,Up
SERPINF2,0.5561370585340653,0.003174632187373517,17.70587236354108,OUD_vs_Control_Caudate,222.94087982177734,151.6267318725586,2,2,0.7121861926826842,True,False,True,Up
AC022816.1,0.6105337916149339,0.004368510324532432,15.080188301356266,OUD_vs_Control_Caudate,20.58083724975586,13.479508399963379,2,2,0.7121861926826842,True,False,True,Up
AC024610.1,1.0425884042600313,0.0027481746921846303,19.036243719625976,OUD_vs_Control_Caudate,2.183202028274536,1.0598478992469609,2,2,0.7121861926826842,True,False,True,Up
AC144831.1,0.702175799210262,0.005250447322154193,13.746318727225676,OUD_vs_Control_Caudate,5.884977340698242,3.617169141769409,2,2,0.7121861926826842,True,False,True,Up
TXNDC2,1.0488103147473813,0.008404742960824831,10.83893667298301,OUD_vs_Control_Caudate,4.048547387123108,1.9569325745105743,2,2,0.7121861926826842,True,False,True,Up
AC020934.1,1.627950487188051,0.0061562782955299575,12.68610836517674,OUD_vs_Control_Caudate,14.73050594329834,4.766018629074097,2,2,0.7121861926826842,True,False,True,Up
AC020911.3,0.6607322096715652,0.0036722259489273515,16.456467364714197,OUD_vs_Control_Caudate,16.569748401641846,10.481313228607178,2,2,0.7121861926826842,True,False,True,Up
LINC01785,-1.1852484162686983,0.005166329979595653,-13.858654172510722,OUD_vs_Control_Caudate,6.693329095840454,15.220800876617432,2,2,0.7121861926826842,True,False,True,Down
DSCR9,1.3215946248604584,0.008747639911640988,10.62161686201336,OUD_vs_Control_Caudate,48.600481033325195,19.44468641281128,2,2,0.7121861926826842,True,False,True,Up
AP001626.1,0.589091324976325,0.004221683085834821,15.341884147447592,OUD_vs_Control_Caudate,17.260077476501465,11.47383451461792,2,2,0.7121861926826842,True,False,True,Up
AC078993.1,2.024979612108154,0.009839979995046407,10.006432682363759,OUD_vs_Control_Caudate,15.465535640716553,3.800015449523926,2,2,0.7121861926826842,True,False,True,Up
GCNA,0.6423874337707172,0.004396794360110184,15.03128504780497,OUD_vs_Control_Caudate,1839.1343994140625,1178.2449340820312,2,2,0.7121861926826842,True,False,True,Up
Z93943.1,0.6272121639993959,0.006528715042107769,12.315483533699357,OUD_vs_Control_Caudate,160.5971908569336,103.9748420715332,2,2,0.7121861926826842,True,False,True,Up
L29074.1,1.1904270166565813,0.008282105923733157,10.919904605020125,OUD_vs_Control_Caudate,36.11261749267578,15.82357931137085,2,2,0.7121861926826842,True,False,True,Up
AC011005.4,2.1131452300338434,0.0012776194150817175,27.950062981914222,OUD_vs_Control_Caudate,5.42523980140686,1.2540037631988525,2,2,0.7121861926826842,True,False,True,Up
AL356309.1,1.7768400926971561,0.007876967867080044,11.200641952375278,OUD_vs_Control_Caudate,4.238670349121094,1.236936703324318,2,2,0.7121861926826842,True,False,True,Up
AL355597.1,-1.3304116551727734,0.0009520363076364631,-32.38642225540977,OUD_vs_Control_Caudate,1.325007140636444,3.332054018974304,2,2,0.7121861926826842,True,True,True,Down
AC025428.1,1.087453287733587,0.006654126638730395,12.197719108098507,OUD_vs_Control_Caudate,2.327597916126251,1.095347449183464,2,2,0.7121861926826842,True,False,True,Up
FP565171.1,1.3472239040713332,0.0062670912472120605,12.572399492210673,OUD_vs_Control_Caudate,2.8317770957946777,1.1130233071744442,2,2,0.7121861926826842,True,False,True,Up
AP001453.2,0.8143910005737951,0.00031538904310681815,56.29553510289583,OUD_vs_Control_Caudate,2.7683277130126953,1.5742053389549255,2,2,0.7121861926826842,True,False,True,Up
CABP2,0.7922283231688885,0.004196863541226174,15.387469778415092,OUD_vs_Control_Caudate,1.871618628501892,1.0807689782232046,2,2,0.7121861926826842,True,False,True,Up
GOLGA6A,2.133910852310079,0.0018855550569176398,22.99670159931298,OUD_vs_Control_Caudate,7.283477783203125,1.6594631969928741,2,2,0.7121861926826842,True,False,True,Up
AL133335.2,-1.3980335198793956,0.0003433630943966688,-53.952469758603975,OUD_vs_Control_Caudate,1.1527797318995,3.0380600690841675,2,2,0.7121861926826842,True,True,True,Down
AL022238.3,1.9155993562984297,0.008744098214461848,10.623796236905065,OUD_vs_Control_Caudate,5.171268105506897,1.3707056045532227,2,2,0.7121861926826842,True,False,True,Up
GGPS1,1.114319589522855,0.0009078580767984552,33.166157146145,OUD_vs_Control_Caudate,2.2321505546569824,1.0310503225773573,2,2,0.7121861926826842,True,True,True,Up
AC138028.6,1.1906995137885776,0.002000352010817595,22.32515427428234,OUD_vs_Control_Caudate,2.6688151955604553,1.169182300567627,2,2,0.7121861926826842,True,False,True,Up
KRT12,1.0418251522298538,0.002382489783133568,20.45066193524954,OUD_vs_Control_Caudate,4.892099142074585,2.3761542439460754,2,2,0.7121861926826842,True,False,True,Up
AC011500.3,1.0065068516595497,0.007618383755771089,11.391371689020263,OUD_vs_Control_Caudate,2.2278643250465393,1.1089194118976593,2,2,0.7121861926826842,True,False,True,Up
HIST1H1B,-2.10127457521079,0.0012603669002923322,-28.141074472738485,OUD_vs_Control_Caudate,1.1600371869280934,4.977583885192871,2,2,0.7121861926826842,True,False,True,Down
